"Story","Title","Result","Date","Stability","Duration (s)"
"User creates an account","User can create an account","ERROR","2021-03-17T14:34:00.8843745-05:00[America/Bogota]","0.0","21.68"
"User creates an account","User can log in account","SUCCESS","2021-03-17T14:34:23.544371-05:00[America/Bogota]","0.0","16.57"
